,Count,Mean,Std,Min,Q1,Median,Q3,Max
green_coverage_pct,257.0,18.383258124936418,12.29942515119744,0.0,10.02508349325306,16.070638777094445,22.591330715362872,74.07944908142765
open_space_area_m2,257.0,4003341.3762055286,11367207.601400305,0.0,590695.2912943395,1230896.324918874,2696517.7932675052,104732623.8352778
urban_heat_2018,257.0,8.266447229159615,1.8282737451161974,0.029428965454545472,7.51767026,8.398132413004927,9.373265005,11.71602165173913
tree_density,257.0,2664.3281219811997,1229.7240511737275,0.0,1843.198562615205,2770.1231842455672,3644.043012269967,5041.707884513321
